filename,title,index,category,question
기타지원_01.html,사회서비스원 긴급돌봄 사업,0,기타지원,긴급 돌봄과 지원이 필요한 사람들을 위한 긴급 돌봄 서비스에 대해 알려주세요.
기타지원_04.html,가족상담전화,3,기타지원,가족상담전화에 대해 알려주세요. 누가 이용할 수 있고 어떤 지원과 정보를 제공하나요?
기타지원_07.html,한부모가족 자녀 교육비 지원,6,기타지원,한부모가족이나 조손가족의 고교생 자녀의 교육비를 지원하는 복지 서비스에 대해 알려주시겠어요?
기타지원_10.html,양육비 이행지원 종합서비스,9,기타지원,양육비 이행지원 종합서비스에 대해 말해주실 수 있나요? 이 서비스를 받을 자격이 있는 사람들은 누구이며 어떤 내용을 포함하고 있나요?
기타지원_13.html,주거 지원,12,기타지원,3년 이상 같은 주소지에 거주한 무주택 다문화가족을 위한 주거 지원 서비스에 대해 알려주세요.
기타지원_16.html,사회통합프로그램,15,기타지원,한국에 거주하는 외국인들을 위한 프로그램에 대해 좀 더 알려주세요. 한국어와 한국문화를 배울 수 있다고 들었는데요.
기타지원_19.html,다문화가족지원센터 이용,18,기타지원,다문화 가족을 위한 서비스에 대해 좀 더 알려주실 수 있을까요? 가족 상담이나 취업 교육과 같은 지원을 받을 수 있는지 알고 싶습니다.
기타지원_22.html,결혼이민여성 직업교육훈련,21,기타지원,여성새로일하기센터에 구직 등록한 결혼이민여성을 위한 직업교육에 대해 알려주세요.
기타지원_25.html,성폭력 피해자 지원,24,기타지원,성폭력 피해자를 위한 지원 서비스에 대해 알려주세요.
기타지원_28.html,가정폭력 피해자 지원,27,기타지원,가정폭력 피해자를 위한 지원 서비스에 대해 알려주세요.
기타지원_31.html,폭력 피해여성 주거 지원,30,기타지원,폭력이나 성폭력을 경험한 여성과 그 가족을 위한 주거 지원에 대해 이야기해주시겠어요?
기타지원_34.html,산재근로자 생활안정자금 융자,33,기타지원,3인 가구의 월 평균 소득 이하이면서 유족급여나 장애 보상을 받을 수 있는 자에게 대한 복지 서비스에 대해 알려주세요.
기타지원_37.html,산재근로자 직업훈련,36,기타지원,부상을 입은 근로자들을 위한 서비스가 있다고 들었어요. 재취업을 위해 직업훈련을 신청하면 훈련비용과 수당을 지원받을 수 있나요?
