filename,title,index,category,question
기타지원_01.html,사회서비스원 긴급돌봄 사업,0,기타지원,사회서비스원이 제공하는 긴급돌봄 서비스의 대상 수혜자는 누구인가요?
기타지원_04.html,가족상담전화,3,기타지원,"가족 상담 전화 서비스를 누가 이용할 수 있으며, 어떤 구체적인 문제에 대해 도움을 받을 수 있나요?"
기타지원_07.html,한부모가족 자녀 교육비 지원,6,기타지원,한부모가족을 위한 교육비 지원의 대상은 누구인가요?
기타지원_10.html,양육비 이행지원 종합서비스,9,기타지원,양육비 이행지원 종합서비스는 누구를 대상으로 하며 어떤 내용을 포함하고 있나요?
기타지원_13.html,주거 지원,12,기타지원,주택 특별공급 서비스를 받을 수 있는 대상은 누구이며 어떤 혜택을 제공하나요?
기타지원_16.html,사회통합프로그램,15,기타지원,사회통합프로그램 (KIIP)은 누구를 대상으로 하며 프로그램의 내용은 무엇인가요?
기타지원_19.html,다문화가족지원센터 이용,18,기타지원,"다문화가족지원센터에서는 어떤 서비스를 제공하며, 대상 수혜자는 누구인가요?"
기타지원_22.html,결혼이민여성 직업교육훈련,21,기타지원,이민여성을 위한 직업교육훈련은 누구에게 제공되나요?
기타지원_25.html,성폭력 피해자 지원,24,기타지원,성폭력 피해자 지원 서비스는 누구를 대상으로 하며 어떤 종류의 지원이 제공되나요?
기타지원_28.html,가정폭력 피해자 지원,27,기타지원,가정폭력 피해자 지원의 대상은 누구인가요?
기타지원_31.html,폭력 피해여성 주거 지원,30,기타지원,이 서비스의 대상은 누구이며 어떤 지원을 제공합니까?
기타지원_34.html,산재근로자 생활안정자금 융자,33,기타지원,"산업재해근로자 생활안정자금 융자를 받을 수 있는 자격은 누구이며, 각 융자 종류별 대출 한도는 어떻게 되나요?"
기타지원_37.html,산재근로자 직업훈련,36,기타지원,부상근로자를 위한 직업훈련은 누구에게 제공되며 어떤 내용을 포함하고 있나요?
기타지원_40.html,산재보험 요양급여,39,기타지원,산재보험 의료지원은 누구에게 지급되며 어떤 내용을 포함하고 있나요?
기타지원_43.html,저임금 근로자·예술인·노무제공자 사회보험료 지원(두루누리),42,기타지원,사회보험료 지원의 대상은 누구인가요?
기타지원_46.html,농업인 안전보험,45,기타지원,농민을 위한 농업 안전보험은 누구를 대상으로 하며 어떤 내용을 보장합니까?
기타지원_49.html,취약농가 인력 지원(행복나눔이),48,기타지원,취약농가 지원 서비스의 대상 수혜자는 누구이며 어떤 서비스가 제공되나요?
기타지원_52.html,취약어가 인력 지원(어업활동 지원),51,기타지원,이 서비스의 대상자는 누구이며 어떤 내용을 포함하고 있나요?
기타지원_55.html,농어가 목돈마련 저축 장려금,54,기타지원,농어가목돈마련저축 장려금은 누구에게 지급되나요?
기타지원_58.html,농번기 아이돌봄방,57,기타지원,농촌 어린이 보육 센터 서비스의 대상과 내용은 무엇인가요?
기타지원_61.html,북한이탈주민 사회보장 지원,60,기타지원,지원 대상은 누구이며 구체적으로 어떤 혜택을 받을 수 있나요?
기타지원_64.html,북한이탈주민 정착금 지원,63,기타지원,"지원 대상은 누구이며, 지원 내용은 어떻게 되나요?"
기타지원_67.html,북한이탈주민 교육비 지원,66,기타지원,북한이탈주민 교육비 지원 서비스의 대상은 누구인가요?
기타지원_70.html,북한이탈주민 주택알선 지원,69,기타지원,북한이탈주민 주택 지원의 목적은 무엇인가요?
